Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5,
-1,-0.001,0,0,28.74334145,-14.648752,-24.730413,-0.01941093,0.131345103,
-1,-0.00095,0,0,28.37259674,-13.915908,-24.725521,-0.01933192,0.126505684,
-1,-0.0009,0,0,28.01618767,-13.18314,-24.720663,-0.019257717,0.121698377,
-1,-0.00085,0,0,27.6746788,-12.450463,-24.715855,-0.019154197,0.11692828,
-1,-0.0008,0,0,27.34862137,-11.717821,-24.711119,-0.019077834,0.112201372,
-1,-0.00075,0,0,27.03851128,-10.985182,-24.706408,-0.019029573,0.107524713,
-1,-0.0007,0,0,26.74491882,-10.252582,-24.701717,-0.01901781,0.102906899,
-1,-0.00065,0,0,26.46835327,-9.519923,-24.697054,-0.019001057,0.098358809,
-1,-0.0006,0,0,26.20937538,-8.78723,-24.69242,-0.018987741,0.093894155,
-1,-0.00055,0,0,25.96850777,-8.054453,-24.687828,-0.018962571,0.089530129,
-1,-0.0005,0,0,25.7462635,-7.3215914,-24.683273,-0.018929062,0.08528707,
-1,-0.00045,0,0,25.54312325,-6.5886936,-24.678734,-0.018883556,0.081187096,
-1,-0.0004,0,0,25.35955238,-5.85575,-24.674212,-0.018848056,0.077252483,
-1,-0.00035,0,0,25.19598389,-5.122762,-24.66971,-0.01883253,0.07350798,
-1,-0.0003,0,0,25.05282211,-4.389776,-24.665226,-0.01881328,0.069993139,
-1,-0.00025,0,0,24.9304142,-3.656784,-24.66076,-0.018806435,0.066765338,
-1,-0.0002,0,0,24.82909775,-2.923731,-24.65635,-0.018852394,0.063889342,
-1,-0.00015,0,0,24.74909592,-2.1906748,-24.651943,-0.01889969,0.061515967,
-1,-1.00E-04,0,0,24.69063377,-1.4575789,-24.647566,-0.018975215,0.059956621,
-1,-5.00E-05,0,0,24.65385056,-0.724497,-24.643196,-0.019053549,0.059065583,
-1,3.12E-19,0,0,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821,
-1,5.00E-05,0,0,24.6457119,0.7415009,-24.634546,-0.019338673,0.059208991,
-1,0.0001,0,0,24.67434692,1.4744594,-24.630245,-0.01951308,0.060142386,
-1,0.00015,0,0,24.7246933,2.207414,-24.62595,-0.019689828,0.061743779,
-1,0.0002,0,0,24.79663658,2.9404194,-24.621672,-0.019854242,0.064162259,
-1,0.00025,0,0,24.890028,3.6735013,-24.617441,-0.019984463,0.067045016,
-1,0.0003,0,0,25.0045948,4.406609,-24.613232,-0.020100078,0.070288912,
-1,0.00035,0,0,25.14008331,5.139814,-24.609056,-0.020217635,0.073827582,
-1,0.0004,0,0,25.29610825,5.873022,-24.604883,-0.020334851,0.077605886,
-1,0.00045,0,0,25.4723053,6.606247,-24.60072,-0.02044894,0.081587141,
-1,0.0005,0,0,25.66825104,7.3394465,-24.59657,-0.020588137,0.085747126,
-1,0.00055,0,0,25.88349724,8.07263,-24.59243,-0.020739485,0.090061604,
-1,0.0006,0,0,26.11756516,8.805753,-24.588322,-0.020897226,0.094503464,
-1,0.00065,0,0,26.36968422,9.538286,-24.584162,-0.021064186,0.099042502,
-1,0.0007,0,0,26.63988876,10.271441,-24.580088,-0.021273239,0.103667102,
-1,0.00075,0,0,26.92770386,11.005312,-24.576084,-0.021483451,0.108362466,
-1,0.0008,0,0,27.23192215,11.738453,-24.572054,-0.021623963,0.113105811,
-1,0.00085,0,0,27.55228806,12.471499,-24.568064,-0.021756621,0.117893338,
-1,0.0009,0,0,27.88821602,13.204328,-24.564157,-0.021902522,0.12271832,
-1,0.00095,0,0,28.23916435,13.93707,-24.560293,-0.022052228,0.127575433,
-1,0.001,0,0,28.60463142,14.669817,-24.556484,-0.0221934,0.132460433,
-0.8,-0.001,0,0,23.56962204,-14.357925,-18.691624,-0.013454118,0.124728011,
-0.8,-0.00095,0,0,23.13402557,-13.637818,-18.686703,-0.013587475,0.119774838,
-0.8,-0.0009,0,0,22.71250343,-12.917,-18.681778,-0.01374381,0.114841314,
-0.8,-0.00085,0,0,22.30735588,-12.197896,-18.676971,-0.013893763,0.109947615,
-0.8,-0.0008,0,0,21.91784668,-11.477928,-18.672144,-0.014062545,0.105077114,
-0.8,-0.00075,0,0,21.54502106,-10.757311,-18.667297,-0.014251026,0.100236036,
-0.8,-0.0007,0,0,21.19092178,-10.038097,-18.66257,-0.014457303,0.095447607,
-0.8,-0.00065,0,0,20.85531998,-9.318241,-18.657827,-0.014652994,0.090703849,
-0.8,-0.0006,0,0,20.53956032,-8.598496,-18.653128,-0.014803461,0.086020629,
-0.8,-0.00055,0,0,20.24449348,-7.878779,-18.648436,-0.014944976,0.081411109,
-0.8,-0.0005,0,0,19.97111511,-7.1591663,-18.643808,-0.015075978,0.07689282,
-0.8,-0.00045,0,0,19.72025681,-6.439526,-18.639227,-0.015197506,0.072489231,
-0.8,-0.0004,0,0,19.49283981,-5.71989,-18.634737,-0.015235651,0.068230328,
-0.8,-0.00035,0,0,19.28967476,-5.0002275,-18.630325,-0.015301875,0.064147977,
-0.8,-0.0003,0,0,19.11173058,-4.2811904,-18.626041,-0.015354024,0.060284234,
-0.8,-0.00025,0,0,18.95932388,-3.5618339,-18.621735,-0.015371857,0.056678311,
-0.8,-0.0002,0,0,18.83318329,-2.8424869,-18.617434,-0.015376582,0.053412834,
-0.8,-0.00015,0,0,18.73383904,-2.1231425,-18.613134,-0.015381641,0.050591854,
-0.8,-1.00E-04,0,0,18.66172791,-1.4037586,-18.60885,-0.015399698,0.04850476,
-0.8,-5.00E-05,0,0,18.61720276,-0.6844145,-18.604612,-0.015457933,0.04738678,
-0.8,3.12E-19,0,0,18.60045624,0.034831736,-18.600416,-0.015575911,0.047064225,
-0.8,5.00E-05,0,0,18.61153603,0.75414866,-18.596245,-0.015702905,0.047512122,
-0.8,0.0001,0,0,18.65038872,1.4734846,-18.592085,-0.015820974,0.048667529,
-0.8,0.00015,0,0,18.71684074,2.192787,-18.587942,-0.015914124,0.05080507,
-0.8,0.0002,0,0,18.81061935,2.9121323,-18.583828,-0.015977038,0.053636526,
-0.8,0.00025,0,0,18.93135071,3.631603,-18.579754,-0.01602046,0.0569192,
-0.8,0.0003,0,0,19.0785141,4.3511143,-18.575718,-0.016063636,0.060552271,
-0.8,0.00035,0,0,19.25146484,5.0706153,-18.571686,-0.01610984,0.064460026,
-0.8,0.0004,0,0,19.44952011,5.7901006,-18.567667,-0.016172074,0.068598406,
-0.8,0.00045,0,0,19.67193031,6.5096097,-18.563662,-0.016265301,0.072929696,
-0.8,0.0005,0,0,19.91788673,7.229037,-18.559713,-0.016320517,0.07741201,
-0.8,0.00055,0,0,20.18636513,7.9479537,-18.555838,-0.016266847,0.08200437,
-0.8,0.0006,0,0,20.4771347,8.6679535,-18.55207,-0.016153308,0.086690853,
-0.8,0.00065,0,0,20.78858376,9.387513,-18.548304,-0.016036827,0.091439999,
-0.8,0.0007,0,0,21.11997986,10.107033,-18.544573,-0.015905997,0.096242179,
-0.8,0.00075,0,0,21.47050476,10.82665,-18.540928,-0.015695684,0.101087734,
-0.8,0.0008,0,0,21.83912086,11.546234,-18.537298,-0.015496351,0.105969413,
-0.8,0.00085,0,0,22.22451591,12.265087,-18.533659,-0.015332939,0.110875392,
-0.8,0.0009,0,0,22.62718773,12.985529,-18.53012,-0.015195202,0.115820024,
-0.8,0.00095,0,0,23.04500198,13.705332,-18.526623,-0.015034831,0.120781089,
-0.8,0.001,0,0,23.47752953,14.425197,-18.52317,-0.014902435,0.125762003,
-0.6,-0.001,0,0,19.83548546,-14.234418,-13.81404,-0.011015328,0.11872658,
-0.6,-0.00095,0,0,19.32696152,-13.52094,-13.809979,-0.011085848,0.113653188,
-0.6,-0.0009,0,0,18.83174896,-12.80747,-13.805918,-0.011156519,0.10859408,
-0.6,-0.00085,0,0,18.35092163,-12.094007,-13.801856,-0.011226786,0.10355199,
-0.6,-0.0008,0,0,17.8856411,-11.38055,-13.797795,-0.011297496,0.09853278,
-0.6,-0.00075,0,0,17.43715286,-10.667101,-13.793735,-0.011367952,0.093546719,
-0.6,-0.0007,0,0,17.00677872,-9.953658,-13.789673,-0.011438597,0.088597915,
-0.6,-0.00065,0,0,16.5959301,-9.240221,-13.785612,-0.011509176,0.083684084,
-0.6,-0.0006,0,0,16.20609283,-8.52679,-13.781551,-0.011580058,0.078808426,
-0.6,-0.00055,0,0,15.83881283,-7.8133492,-13.777496,-0.011659675,0.073979445,
-0.6,-0.0005,0,0,15.49569607,-7.0999136,-13.773441,-0.011739798,0.069209704,
-0.6,-0.00045,0,0,15.17838287,-6.3864822,-13.769387,-0.011819795,0.064515931,
-0.6,-0.0004,0,0,14.88852024,-5.6730533,-13.765332,-0.011899784,0.059920811,
-0.6,-0.00035,0,0,14.62774181,-4.9596314,-13.761277,-0.01197994,0.055457344,
-0.6,-0.0003,0,0,14.39762688,-4.246213,-13.757223,-0.012059813,0.051173086,
-0.6,-0.00025,0,0,14.19966507,-3.5327978,-13.753169,-0.012139856,0.047127311,
-0.6,-0.0002,0,0,14.03521442,-2.8193855,-13.749115,-0.012219799,0.043385559,
-0.6,-0.00015,0,0,13.90546608,-2.1059756,-13.745061,-0.01229969,0.040059796,
-0.6,-1.00E-04,0,0,13.81139565,-1.3925672,-13.741007,-0.012379864,0.037340241,
-0.6,-5.00E-05,0,0,13.7537384,-0.6791602,-13.736954,-0.012459648,0.035757598,
-0.6,3.12E-19,0,0,13.7329483,0.034246407,-13.7329,-0.012539638,0.035298294,
-0.6,5.00E-05,0,0,13.7491951,0.747653,-13.728847,-0.012619614,0.035861912,
-0.6,0.0001,0,0,13.80234814,1.4610604,-13.7247925,-0.012699771,0.037488205,
-0.6,0.00015,0,0,13.89198208,2.1744688,-13.720739,-0.012779924,0.040227425,
-0.6,0.0002,0,0,14.01739979,2.8878791,-13.716686,-0.012860023,0.043571839,
-0.6,0.00025,0,0,14.17765045,3.6012914,-13.712633,-0.012939896,0.047347566,
-0.6,0.0003,0,0,14.37157059,4.314707,-13.70858,-0.013019558,0.051448884,
-0.6,0.00035,0,0,14.59781742,5.028126,-13.704527,-0.013099365,0.055806903,
