Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,0,0,-0.001,28.54588699,0.008080621,-24.488615,-14.668855,0.131227853
-1,0,0,-0.00095,28.18286896,0.008067182,-24.49582,-13.936603,0.126388049
-1,0,0,-0.0009,27.83441162,0.008046584,-24.503052,-13.20435,0.121577581
-1,0,0,-0.00085,27.50106239,0.008051615,-24.510303,-12.472106,0.116800567
-1,0,0,-0.0008,27.18340302,0.00807727,-24.51762,-11.73983,0.112062574
-1,0,0,-0.00075,26.88197899,0.008141862,-24.524971,-11.007567,0.107371444
-1,0,0,-0.0007,26.59736443,0.008267513,-24.532387,-10.275295,0.102738529
-1,0,0,-0.00065,26.33005524,0.008359794,-24.53983,-9.542984,0.098180418
-1,0,0,-0.0006,26.08058739,0.008437051,-24.547335,-8.810527,0.093719212
-1,0,0,-0.00055,25.84947968,0.008514931,-24.55485,-8.078051,0.089378819
-1,0,0,-0.0005,25.63723564,0.008594038,-24.562387,-7.3455377,0.085177495
-1,0,0,-0.00045,25.44433784,0.00865056,-24.569963,-6.612951,0.08112862
-1,0,0,-0.0004,25.27122116,0.008706145,-24.577547,-5.880362,0.077249416
-1,0,0,-0.00035,25.11828804,0.008755817,-24.58514,-5.1477365,0.073568156
-1,0,0,-0.0003,24.98591614,0.008803425,-24.59274,-4.415101,0.070123058
-1,0,0,-0.00025,24.87444305,0.008854992,-24.600348,-3.6824932,0.066947971
-1,0,0,-0.0002,24.78415871,0.008854779,-24.607979,-2.9498918,0.064076183
-1,0,0,-0.00015,24.7152977,0.008819574,-24.615631,-2.2173336,0.06169615
-1,0,0,-1.00E-04,24.6680603,0.008747091,-24.623343,-1.4846437,0.060128002
-1,0,0,-5.00E-05,24.6425705,0.008635913,-24.631096,-0.75189453,0.059162574
-1,0,0,3.12E-19,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,0,0,5.00E-05,24.65699196,0.008350934,-24.646667,0.7134608,0.059040872
-1,0,0,0.0001,24.69685173,0.008192009,-24.654474,1.4461261,0.059783628
-1,0,0,0.00015,24.75834656,0.008018401,-24.66229,2.178785,0.061200671
-1,0,0,0.0002,24.84132195,0.007830712,-24.670116,2.9114544,0.063516126
-1,0,0,0.00025,24.94556808,0.007655138,-24.677954,3.64416,0.066439925
-1,0,0,0.0003,25.07082176,0.007505812,-24.685802,4.37689,0.069738346
-1,0,0,0.00035,25.21676445,0.007356291,-24.693657,5.1096425,0.073318122
-1,0,0,0.0004,25.38306046,0.007192028,-24.70153,5.842441,0.077124769
-1,0,0,0.00045,25.56939507,0.006950944,-24.709497,6.575306,0.08112427
-1,0,0,0.0005,25.77526474,0.006701548,-24.717485,7.3082232,0.08529183
-1,0,0,0.00055,26.00018692,0.006430042,-24.725498,8.041107,0.089604646
-1,0,0,0.0006,26.24365997,0.006161036,-24.733517,8.773989,0.094041028
-1,0,0,0.00065,26.50517654,0.00589225,-24.741537,9.506873,0.098580934
-1,0,0,0.0007,26.78420258,0.005622875,-24.749561,10.239761,0.10320631
-1,0,0,0.00075,27.08026695,0.00541105,-24.757639,10.972704,0.107901591
-1,0,0,0.0008,27.39283752,0.005238947,-24.765812,11.705643,0.112653978
-1,0,0,0.00085,27.72129822,0.005033973,-24.774084,12.438454,0.117453117
-1,0,0,0.0009,28.06512451,0.004829947,-24.782448,13.171238,0.122290988
-1,0,0,0.00095,28.42368889,0.004626483,-24.790842,13.903966,0.12716131
-1,0,0,0.001,28.79653358,0.004446769,-24.799292,14.636785,0.132059177
-0.8,0,0,-0.001,23.4116478,0.035209276,-18.457287,-14.402517,0.124618913
-0.8,0,0,-0.00095,22.98134422,0.03514087,-18.464066,-13.682807,0.119673137
-0.8,0,0,-0.0009,22.56585884,0.035113283,-18.470888,-12.963144,0.114750061
-0.8,0,0,-0.00085,22.16604233,0.035091616,-18.47776,-12.243553,0.10985239
-0.8,0,0,-0.0008,21.78269386,0.03505562,-18.484655,-11.523977,0.104983398
-0.8,0,0,-0.00075,21.41667557,0.034993995,-18.491562,-10.804393,0.100147104
-0.8,0,0,-0.0007,21.06892395,0.03496883,-18.498512,-10.084809,0.095348691
-0.8,0,0,-0.00065,20.74040985,0.03497756,-18.505508,-9.365338,0.090595404
-0.8,0,0,-0.0006,20.43207169,0.034994107,-18.512552,-8.646023,0.085898082
-0.8,0,0,-0.00055,20.14474106,0.03503389,-18.519611,-7.926749,0.081273855
-0.8,0,0,-0.0005,19.87931061,0.035051133,-18.526686,-7.207472,0.07674976
-0.8,0,0,-0.00045,19.63672066,0.035036057,-18.533821,-6.4882255,0.07236195
-0.8,0,0,-0.0004,19.41785622,0.03504917,-18.541052,-5.768999,0.06814274
-0.8,0,0,-0.00035,19.22335052,0.035017926,-18.548311,-5.0493665,0.064112053
-0.8,0,0,-0.0003,19.05417252,0.03498347,-18.555607,-4.3301,0.060304174
-0.8,0,0,-0.00025,18.91089249,0.034976907,-18.56293,-3.6108582,0.056767191
